,RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
0,0,0.36065573770491804,0.1772784019975031,0.010443864229765013,0.21108179419525067,0.25316455696202533,0.15789473684210525,0.0,0.83,0.024096385542168676,0.3333333333333333,0.5,0.22115384615384615,0.05263157894736842,0.43,0.0,0.0,0.0,0.14224137931034483,0.14551586565103333,0.25,0.0,0.05555555555555555,0.69
1,0,0.45901639344262296,0.06991260923845194,0.0391644908616188,0.09762532981530343,0.02531645569620253,0.21052631578947367,0.21052631578947367,1.0,0.26360899770818513,0.0,1.0,0.0673076923076923,0.0,0.67,0.0,0.0,0.0,0.0,0.14551586565103333,0.0,0.06749571183533448,0.06068164417647622,0.0
2,0,0.5573770491803278,0.07990012484394507,0.013054830287206266,0.052770448548812667,0.11392405063291139,0.0,0.0,1.0,0.26360899770818513,0.7777777777777778,1.0,0.08653846153846154,0.21052631578947367,0.44,0.0,0.06060606060606061,0.06060606060606061,0.22844827586206898,0.14012738853503184,0.125,0.045454545454545456,0.05555555555555555,0.86
3,0,0.5409836065573771,0.20848938826466917,0.0026109660574412533,0.1820580474934037,0.35443037974683544,0.05263157894736842,0.05263157894736842,0.93,0.9156626506024096,0.6666666666666666,0.6666666666666666,0.28846153846153844,0.15789473684210525,0.57,0.0,0.07575757575757576,0.06060606060606061,0.3103448275862069,0.1762208067940552,0.1875,0.13636363636363635,0.16666666666666666,0.91
4,0,0.7868852459016393,0.4132334581772784,0.07049608355091384,0.33773087071240104,0.1518987341772152,0.0,0.0,1.0,0.26360899770818513,0.7777777777777778,1.0,0.11538461538461539,0.0,0.25,0.0,0.015151515151515152,0.015151515151515152,0.21982758620689655,0.18895966029723993,0.09375,0.0,0.0,0.8
5,0,0.4262295081967213,0.16853932584269662,0.028720626631853787,0.19525065963060687,0.3924050632911392,0.0,0.0,0.91,0.012048192771084338,0.4444444444444444,0.6666666666666666,0.3076923076923077,0.05263157894736842,0.47,0.0,0.0,0.0,0.2672413793103448,0.19745222929936307,0.375,0.13636363636363635,0.16666666666666666,0.94
6,1,0.3442622950819672,0.10736579275905118,0.018276762402088774,0.0870712401055409,0.31645569620253167,0.0,0.0,0.92,0.10843373493975904,0.4444444444444444,0.6666666666666666,0.25,0.15789473684210525,0.58,0.0,0.06060606060606061,0.06060606060606061,0.38362068965517243,0.1613588110403397,0.21875,0.2727272727272727,0.1111111111111111,1.0
7,1,0.5737704918032787,0.1822721598002497,0.018276762402088774,0.16094986807387862,0.21518987341772153,0.0,0.0,0.83,0.37349397590361444,0.6666666666666666,0.6666666666666666,0.17307692307692307,0.05263157894736842,0.44,0.0,0.0,0.0,0.1206896551724138,0.10191082802547771,0.0625,0.045454545454545456,0.1111111111111111,0.4
8,0,0.4262295081967213,0.4019975031210986,0.005221932114882507,0.35356200527704484,0.3037974683544304,0.0,0.0,0.85,0.060240963855421686,0.4444444444444444,0.6666666666666666,0.25961538461538464,0.05263157894736842,0.26,0.0,0.015151515151515152,0.015151515151515152,0.29310344827586204,0.14551586565103333,0.21875,0.0,0.16666666666666666,0.9
9,0,0.45901639344262296,0.09612983770287141,0.010443864229765013,0.08443271767810026,0.24050632911392406,0.0,0.0,0.95,0.060240963855421686,0.4444444444444444,0.6666666666666666,0.18269230769230768,0.15789473684210525,0.26,0.0,0.09090909090909091,0.09090909090909091,0.1336206896551724,0.18259023354564755,0.15625,0.09090909090909091,0.05555555555555555,0.62
